#ZVView-data-copy::  19-Sep-2026 21:02:48
#=======================================
#
#name:   JENDL-4.0: TH-232(N,F) E_in=1.e-11 MeV
#X.axis: Energy
#Y.axis: 
#wdata:  3
#ldata:  352
#data...
# X               Y               +-dY           
# MeV             1/eV            1/eV           
  0.00            0.00            0.00                        
  1.40e-9         2.67181e-11     1.70214e-12      #dY:6.4%   
  1.60e-9         2.85629e-11     1.81967e-12      #dY:6.4%   
  1.80e-9         3.02955e-11     1.93005e-12      #dY:6.4%   
  2.20e-9         3.34929e-11     2.13375e-12      #dY:6.4%   
  2.50e-9         3.57036e-11     2.27458e-12      #dY:6.4%   
  2.90e-9         3.84539e-11     2.4498e-12       #dY:6.4%   
  3.40e-9         4.16372e-11     2.62999e-12      #dY:6.3%   
  4.00e-9         4.51619e-11     2.85262e-12      #dY:6.3%   
  4.60e-9         4.84307e-11     3.0591e-12       #dY:6.3%   
  5.40e-9         5.24733e-11     3.31445e-12      #dY:6.3%   
  6.30e-9         5.66777e-11     3.58001e-12      #dY:6.3%   
  7.40e-9         6.14268e-11     3.87999e-12      #dY:6.3%   
  8.60e-9         6.62203e-11     4.18277e-12      #dY:6.3%   
  1.00e-8         7.14071e-11     4.54915e-12      #dY:6.4%   
  1.20e-8         7.82226e-11     4.98335e-12      #dY:6.4%   
  1.40e-8         8.44901e-11     5.38263e-12      #dY:6.4%   
  1.60e-8         9.03237e-11     5.75427e-12      #dY:6.4%   
  1.80e-8         9.58027e-11     6.10333e-12      #dY:6.4%   
  2.20e-8         1.05914e-10     6.74749e-12      #dY:6.4%   
  2.50e-8         1.12905e-10     7.19287e-12      #dY:6.4%   
  2.90e-8         1.21602e-10     7.74693e-12      #dY:6.4%   
  3.40e-8         1.31668e-10     8.31683e-12      #dY:6.3%   
  4.00e-8         1.42814e-10     9.02087e-12      #dY:6.3%   
  4.60e-8         1.53151e-10     9.67381e-12      #dY:6.3%   
  5.40e-8         1.65935e-10     1.04813e-11      #dY:6.3%   
  6.30e-8         1.7923e-10      1.13211e-11      #dY:6.3%   
  7.40e-8         1.94248e-10     1.22697e-11      #dY:6.3%   
  8.60e-8         2.09406e-10     1.32272e-11      #dY:6.3%   
