#ZVView-data-copy::  19-Sep-2026 21:09:28
#=======================================
#
#name:   JENDL-4.0: NP-237(N,F) E_in=1.e-11 MeV
#X.axis: Energy
#Y.axis: 
#wdata:  3
#ldata:  352
#data...
# X               Y               +-dY           
# MeV             1/eV            1/eV           
  0.00            0.00            0.00                        
  13.9            7.0911e-11      8.55616e-11      #dY:120.7% 
  14              6.58299e-11     7.94307e-11      #dY:120.7% 
  14.1            6.11097e-11     7.50342e-11      #dY:122.8% 
  14.2            5.67251e-11     6.96505e-11      #dY:122.8% 
  14.3            5.26523e-11     6.57684e-11      #dY:124.9% 
  14.4            4.88696e-11     6.10434e-11      #dY:124.9% 
  14.5            4.53563e-11     5.80978e-11      #dY:128.1% 
  14.6            4.20935e-11     5.39184e-11      #dY:128.1% 
  14.7            3.90634e-11     5.08676e-11      #dY:130.2% 
  14.8            3.62498e-11     4.72038e-11      #dY:130.2% 
  14.9            3.36371e-11     4.45167e-11      #dY:132.3% 
  15              3.12113e-11     4.13063e-11      #dY:132.3% 
  15.1            2.8959e-11      3.89411e-11      #dY:134.5% 
  15.2            2.6868e-11      3.61293e-11      #dY:134.5% 
  15.3            2.49268e-11     3.43129e-11      #dY:137.7% 
  15.4            2.31247e-11     3.18322e-11      #dY:137.7% 
  15.5            2.1452e-11      2.9986e-11       #dY:139.8% 
  15.6            1.98993e-11     2.78156e-11      #dY:139.8% 
  15.7            1.84582e-11     2.61928e-11      #dY:141.9% 
  15.8            1.71206e-11     2.42947e-11      #dY:141.9% 
  15.9            1.58793e-11     2.30395e-11      #dY:145.1% 
  16              1.47273e-11     2.1368e-11       #dY:145.1% 
  16.1            1.36583e-11     2.01076e-11      #dY:147.2% 
  16.2            1.26663e-11     1.86472e-11      #dY:147.2% 
  16.3            1.17459e-11     1.76666e-11      #dY:150.4% 
  16.4            1.08919e-11     1.63821e-11      #dY:150.4% 
  16.5            1.00995e-11     1.54043e-11      #dY:152.5% 
  16.6            9.36436e-12     1.4283e-11       #dY:152.5% 
  16.7            8.68238e-12     1.34277e-11      #dY:154.7% 
  16.8            8.04972e-12     1.24493e-11      #dY:154.7% 
  16.9            7.46285e-12     1.17796e-11      #dY:157.8% 
  17              6.91848e-12     1.09203e-11      #dY:157.8% 
  17.1            6.41356e-12     1.02598e-11      #dY:160.0% 
  17.2            5.94524e-12     9.51065e-12      #dY:160.0% 
  17.3            5.51089e-12     8.93307e-12      #dY:162.1% 
  17.4            5.10807e-12     8.2801e-12       #dY:162.1% 
  17.5            4.73451e-12     7.82555e-12      #dY:165.3% 
  17.6            4.38809e-12     7.25297e-12      #dY:165.3% 
  17.7            4.06685e-12     6.80856e-12      #dY:167.4% 
  17.8            3.76898e-12     6.30988e-12      #dY:167.4% 
  17.9            3.4928e-12      5.95874e-12      #dY:170.6% 
  18              3.23672e-12     5.52187e-12      #dY:170.6% 
  18.1            2.99931e-12     5.18076e-12      #dY:172.7% 
  18.2            2.7792e-12      4.80056e-12      #dY:172.7% 
  18.3            2.57515e-12     4.53022e-12      #dY:175.9% 
  18.4            2.38598e-12     4.19743e-12      #dY:175.9% 
  18.5            2.21064e-12     3.93599e-12      #dY:178.0% 
